,Preselections,0 < NJet < 3,n(good vertex) > 0,Leading jet pT > 80 GeV,Leading jet |eta| < 2.4,"dPhi(MET,leading jet) > 2.0","dPhi(MET,all jets) > 0.75",OSSF,theta < 70,BDT,m1,delta,ctau
sig_2018_Mchi-5p5_dMchi-1p0_ctau-1,0.0086957118506529,0.008335317445675465,0.0038349750560437,0.0038349750560437,0.003692240465464727,0.003692240465464727,0.003651428649714438,0.0035221560008713354,0.003379432442628889,0.0022847045434367603,5.0,0.2,1.0
sig_2018_Mchi-5p25_dMchi-0p5_ctau-1,0.007935007594372129,0.007590199971260401,0.0027462337695170246,0.0027462337695170246,0.002625759746649048,0.002625759746649048,0.0025800057892378047,0.0024346262613158583,0.00227682425180175,0.0012048691604391955,5.0,0.1,1.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-1,0.009219166525293664,0.008765212136158967,0.004106486059211941,0.004100641882781772,0.003954462445921039,0.003954462445921039,0.003907731899578817,0.0037225517489497175,0.0035061428746526236,0.0022822786189955722,10.0,0.1,1.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-1,0.010149751618313135,0.00960905744431547,0.005410726041123259,0.005408464889916912,0.00518982263347121,0.00518982263347121,0.005140249058204063,0.004993725497840789,0.004779717158080093,0.003369049868400519,10.0,0.2,1.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-1,0.01160017902503434,0.011079209774184516,0.005726839732885832,0.00571193450204906,0.0055333152778691535,0.0055333152778691535,0.005461429653890671,0.005292625850874532,0.00503963959910116,0.003479072426869543,20.0,0.1,1.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-1,0.012962543630708104,0.012328526129705643,0.007439313821615782,0.007436928164179598,0.007138921530290466,0.007138921530290466,0.007060280902397595,0.006850635928199529,0.0065383374932737,0.004659799801443779,20.0,0.2,1.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-1,0.0169622505714537,0.01618203750374178,0.010088483795969445,0.010078502140782954,0.009719633428488207,0.009719633428488207,0.009584919219886023,0.009333279391842553,0.00889732658306593,0.006227909875316993,30.0,0.2,1.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-1,0.014635395689093736,0.013946136204810125,0.007558110882519873,0.007548762358125811,0.007347835590479566,0.007347835590479566,0.007289420259001909,0.0070557949787756515,0.006665800473640699,0.0044446156495992,30.0,0.1,1.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-1,0.02218388623492197,0.02119027053162401,0.013460482730004737,0.013440738632338753,0.012993376297799647,0.012993376297799647,0.012802634363692467,0.012486815779440559,0.01184211223758718,0.007990439906886856,40.0,0.2,1.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-1,0.019488795534179218,0.01868803970167825,0.010587574727217238,0.01057981152635919,0.01017677920010112,0.01017677920010112,0.010086351072943565,0.009755760343319575,0.009208079340745074,0.006134664563138511,40.0,0.1,1.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-1,0.02880489731345379,0.027428391901680567,0.018451313760842903,0.018451313760842903,0.017739744078447965,0.017739744078447965,0.017606751459906558,0.017029393204320953,0.015828448629509505,0.010224706834768473,50.0,0.2,1.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-1,0.024166060405715468,0.023061479833867457,0.012920661512658412,0.01290141276619163,0.012478226005468216,0.012478226005468216,0.012280452349686482,0.011926053857539429,0.011200651706507601,0.007375555488726893,50.0,0.1,1.0
sig_2018_Mchi-63p0_dMchi-6p0_ctau-1,0.029880774305221576,0.02826215400403981,0.016208747885869786,0.016205478904933183,0.015623361639388522,0.015623361639388522,0.015420675790985022,0.014926734577531043,0.013834498900053708,0.00852760248035928,60.0,0.1,1.0
sig_2018_Mchi-77p0_dMchi-14p0_ctau-1,0.041925656120466885,0.03973763378765674,0.02576196907681368,0.025751441123675403,0.0247921440603375,0.024788655066858598,0.024456258996860856,0.023829691659693196,0.020850902504379196,0.011566852604049238,70.0,0.2,1.0
sig_2018_Mchi-73p5_dMchi-7p0_ctau-1,0.035815052291631365,0.03430398302338543,0.02010674400980445,0.02009362940410292,0.019413570357308806,0.019413570357308806,0.01916050860853703,0.018566090027331936,0.01703186833610255,0.010076543555344767,70.0,0.1,1.0
sig_2018_Mchi-84p0_dMchi-8p0_ctau-1,0.04129659367290283,0.03941033059526149,0.02342989283534253,0.023399714020577653,0.022589144988276164,0.022589144988276164,0.022304506007315615,0.021731741851929186,0.019534449308794746,0.011133595332005542,80.0,0.1,1.0
sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,0.057554679257734796,0.05455372710818785,0.03585741238989161,0.035820912300438885,0.034616565003746644,0.034616565003746644,0.034172683147120186,0.03331487987065313,0.02785040196752327,0.013207274203853685,90.0,0.2,1.0
sig_2018_Mchi-94p5_dMchi-9p0_ctau-1,0.04856860500768175,0.046325100723537245,0.02799166958022717,0.027966356184618395,0.026987142309445572,0.026987142309445572,0.026659071345780203,0.025930661928728244,0.02295041171151582,0.012772162289014283,90.0,0.1,1.0
sig_2018_Mchi-105p0_dMchi-10p0_ctau-1,0.055955939869869,0.053259041308016446,0.03254928981831248,0.03248563338561645,0.03139153676069113,0.03139153676069113,0.03089522484269452,0.03025954875898494,0.026405215226621103,0.013647131348802658,100.0,0.1,1.0
sig_2018_Mchi-110p0_dMchi-20p0_ctau-1,0.06372560687983093,0.06017455963211023,0.039841705799006165,0.03978736842227226,0.0384520346306125,0.0384520346306125,0.03800585558927991,0.03714799722550526,0.030212403595883678,0.01364492209461676,100.0,0.2,1.0
