,Preselections,n(good vertex) > 0,computing BDT score,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 2","dPhi(MET,all jets) > 0.75",BDT,m1,delta,ctau
sig_2018_Mchi-5p5_dMchi-1p0_ctau-1,1589.782768188073,452.9085119521783,452.9085119521783,436.4466476813344,436.4466476813344,436.4466476813344,432.64891120949807,333.1827221391048,5.0,0.2,1.0
sig_2018_Mchi-5p25_dMchi-0p5_ctau-1,33181.43733349949,6523.442374734677,6523.442374734677,6258.406375660387,6258.406375660387,6258.406375660387,6134.482200963212,2421.6530926233813,5.0,0.1,1.0
sig_2018_Mchi-11p0_dMchi-2p0_ctau-1,916.2372235162364,300.2017610572086,300.2017610572086,288.3409394884666,288.3409394884666,288.3409394884666,285.6383461903406,262.1380031959657,10.0,0.2,1.0
sig_2018_Mchi-10p5_dMchi-1p0_ctau-1,21863.064444247437,5577.9940019546075,5577.9940019546075,5408.864370237742,5408.864370237742,5408.864370237742,5338.3892036406505,4201.293797611496,10.0,0.1,1.0
sig_2018_Mchi-22p0_dMchi-4p0_ctau-1,720.7813280679609,248.84319575462715,248.84319575462715,239.79682096109346,239.66165843948798,239.66165843948798,237.77056648950298,220.34357101428327,20.0,0.2,1.0
sig_2018_Mchi-21p0_dMchi-2p0_ctau-1,17603.394195144898,5177.049322962102,5177.049322962102,5023.643730657904,5015.966811607552,5015.966811607552,4950.788920177053,4387.244057509809,20.0,0.1,1.0
sig_2018_Mchi-33p0_dMchi-6p0_ctau-1,37883.40613089746,14055.656718341737,14055.656718341737,13568.90526082195,13557.55395991061,13557.55395991061,13381.816406611317,12119.883349873264,30.0,0.2,1.0
sig_2018_Mchi-31p5_dMchi-3p0_ctau-1,19830.37564666674,6072.276992965708,6072.276992965708,5920.887594641966,5917.662016967909,5917.662016967909,5862.9258744113295,5247.9651868163755,30.0,0.1,1.0
sig_2018_Mchi-44p0_dMchi-8p0_ctau-1,396.78503219652146,151.219125099161,151.219125099161,145.89534806648564,145.83534786380102,145.83534786380102,143.92146859610816,126.38426871312724,40.0,0.2,1.0
sig_2018_Mchi-42p0_dMchi-4p0_ctau-1,9765.717483401058,3138.7275591425746,3138.7275591425746,3020.4082168504583,3020.4082168504583,3020.4082168504583,2999.368447911918,2602.420090491862,40.0,0.1,1.0
sig_2018_Mchi-52p5_dMchi-5p0_ctau-1,4120.421545303538,1339.4379055103077,1339.4379055103077,1302.324096730293,1299.9426094476178,1299.9426094476178,1281.4018024192817,1092.9288615460434,50.0,0.1,1.0
sig_2018_Mchi-55p0_dMchi-10p0_ctau-1,164.38075328409943,65.91387270497968,65.91387270497968,63.326382392155345,63.326382392155345,63.326382392155345,63.326382392155345,55.0551426798375,50.0,0.2,1.0
sig_2018_Mchi-63p0_dMchi-6p0_ctau-1,2668.5628751027916,868.403674575984,868.403674575984,836.1912337277695,836.1912337277695,836.1912337277695,825.4594009730397,676.0519296887309,60.0,0.1,1.0
sig_2018_Mchi-77p0_dMchi-14p0_ctau-1,73.23456481390885,28.14322698624846,28.14322698624846,27.076079309734872,27.063553712588256,27.05733316904147,26.751784054068565,20.276086547862946,70.0,0.2,1.0
sig_2018_Mchi-73p5_dMchi-7p0_ctau-1,1933.116734602155,633.0195430283235,633.0195430283235,611.0351446428757,610.8551212369568,610.8551212369568,602.3846921622948,481.2939432274739,70.0,0.1,1.0
sig_2018_Mchi-84p0_dMchi-8p0_ctau-1,1436.3091444493355,470.31733536838203,470.31733536838203,456.24985091447525,455.89493096539434,455.89493096539434,451.64101899550855,343.6777750913657,80.0,0.1,1.0
sig_2018_Mchi-99p0_dMchi-18p0_ctau-1,43.3070326086715,16.375156542269966,16.375156542269966,15.796286106085017,15.782287048597315,15.782287048597315,15.564544841162933,10.753601417731554,90.0,0.2,1.0
sig_2018_Mchi-94p5_dMchi-9p0_ctau-1,1139.7106191213247,386.3874861463357,386.3874861463357,373.7061668562902,373.51577200937544,373.51577200937544,369.5780251536124,275.15763325281637,90.0,0.1,1.0
sig_2018_Mchi-110p0_dMchi-20p0_ctau-1,33.268338333812906,12.644121130290651,12.644121130290651,12.21715306191083,12.204696287080468,12.204696287080468,12.051378111420531,7.993856067338539,100.0,0.2,1.0
sig_2018_Mchi-105p0_dMchi-10p0_ctau-1,913.4975416699469,304.5752644218554,304.5752644218554,294.6507764953574,294.22798323654337,294.22798323654337,289.7972931228002,207.25308368443754,100.0,0.1,1.0
