,Preselections,n(good vertex) > 0,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"|dPhi(MET,leading jet)| > 1.5","|dPhi(MET,all jets)| > 0.75",Vtx cos(collinear) < 0,Vtx cos(collinear) > -0.99
DY-M50,0.0003939941770486603,1.595052362782601e-05,8.517977073626636e-06,8.219969164753684e-06,8.18709819139698e-06,7.993644830210566e-06,5.166421190571224e-06,2.480355998863255e-06,1.6699171468699927e-06
QCD,2.482419777063774e-06,2.5651066028230424e-08,6.637637445934515e-09,6.637637445934515e-09,6.637637445934515e-09,6.225351508582701e-09,1.0983955961513523e-11,1.0983955961513523e-11,1.0983955961513523e-11
WJets,0.001013292743948631,1.4764343200721981e-05,8.438754631346043e-06,8.01977734392918e-06,7.953948522528836e-06,7.875320228628652e-06,5.149292231572811e-06,2.51985891508088e-06,1.6417488332045806e-06
ZJets,0.002421662019376248,2.238923440627601e-05,1.3236753446666041e-05,1.2426200014792336e-05,1.227248904663914e-05,1.2169685327053612e-05,8.468391868373153e-06,4.0245031032285465e-06,3.0942772943067193e-06
TTX,0.0013833561115585249,9.5199731326555e-05,2.5971514954852305e-05,2.363638528711813e-05,2.2414563732333345e-05,2.220085612133506e-05,1.0522025168165788e-05,4.1062227890516505e-06,5.678702042053145e-06
TTbar,0.00044364699305655047,2.7043854389631074e-05,9.300204519780664e-06,8.617760043487374e-06,8.409249677626505e-06,8.323687825636911e-06,5.45906999517788e-06,2.5487974827706463e-06,1.8639488852331346e-06
DY-M4to50,2.6456099600495896e-05,1.1285250569901952e-06,5.896956838154332e-07,5.806795262178515e-07,5.806795262178515e-07,5.509799114324099e-07,2.8301625285741684e-07,1.2930520550914958e-07,7.467613923183906e-08
ZGamma,0.0003247032637400491,6.819014352165479e-06,4.100072721612923e-06,4.057148140606814e-06,3.896103695791377e-06,3.509713849464597e-06,2.935926015607835e-06,1.1431806455987014e-06,7.487100786186114e-07
SingleTop,0.00023564103448618862,8.0682966773303e-06,3.080916731445192e-06,2.8531515183000933e-06,2.8370121973770027e-06,2.782389251909674e-06,1.8481472536075678e-06,7.787435445576279e-07,5.446693588675484e-07
Multiboson,0.0006591377388398073,2.0212358796796794e-05,1.0726110698388705e-05,1.0220806979685524e-05,9.936876755245122e-06,9.643711959569068e-06,6.685669591128362e-06,2.9595236144092305e-06,1.985834315416027e-06
Total,1.695409807120276e-05,2.832716784051044e-07,1.3836705125772564e-07,1.3120543154879788e-07,1.2972730776998628e-07,1.2786839262598677e-07,8.040122354657064e-08,3.8616205305427483e-08,2.6311871194875166e-08
