,Preselections,n(good vertex) > 0,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"|dPhi(MET,leading jet)| > 1.5","|dPhi(MET,all jets)| > 0.75",min(dxy_refit) > 0.00001,min(dxy_refit) > 0.00005,min(dxy_refit) > 0.0001,min(dxy_refit) > 0.0005,min(dxy_refit) > 0.001,min(dxy_refit) > 0.005,Vtx cos(collinear) < 0
ZGamma,0.0003246784514825822,6.819392489971286e-06,4.100071814856234e-06,4.057147284554602e-06,3.896102881663294e-06,3.5097130706764297e-06,2.93592528752877e-06,4.936161506619287e-07,4.936161506619287e-07,4.909226905806871e-07,4.909226905806871e-07,4.266212356687637e-07,2.3342617168422512e-07,3.48441875372033e-08
TTX,0.0013833511831680746,9.519972256558627e-05,2.5971510484079012e-05,2.3636381083194306e-05,2.2414560474655072e-05,2.2200853971570698e-05,1.0522024646144978e-05,2.1763111424576055e-06,2.1220045117861136e-06,2.016137939902801e-06,1.9438383157734725e-06,1.5113037890413773e-06,1.3213441405485565e-06,9.835188854296555e-07
DY-M50,0.0003940281004457437,1.5954187379113436e-05,8.519467821072126e-06,8.221450176956239e-06,8.188421327357026e-06,7.995181048717234e-06,5.1666005828649236e-06,1.5986043700731282e-06,1.5893557412093893e-06,1.5734885038151699e-06,1.4251722826539594e-06,1.2063018793539994e-06,3.524860505044444e-07,1.3035942285710767e-07
TTbar,0.00044359250937039165,2.7046584674777633e-05,9.28088965685534e-06,8.601045866894338e-06,8.392639030989898e-06,8.30649763966779e-06,5.450453022077453e-06,1.2868351963052316e-06,1.263117216457962e-06,1.2196162473718444e-06,1.007787894192229e-06,7.874216188669222e-07,2.3376977286073553e-07,1.0347697204889389e-07
SingleTop,0.00023554460795804577,8.060573679484224e-06,3.0815119657550153e-06,2.8521625006778727e-06,2.8360231792422226e-06,2.781448307329338e-06,1.848745638518147e-06,4.440229224983671e-07,4.41668980408767e-07,4.3931503831916693e-07,3.908971346148186e-07,3.220879296312054e-07,3.8891601971636044e-08,3.6537659583696234e-08
WJets,0.0010131776773887344,1.4780620224277706e-05,8.462591649808477e-06,8.045215610046744e-06,7.980029665764867e-06,7.899956311730156e-06,5.1711304524350576e-06,1.1722631063900396e-06,1.1505035989279775e-06,1.1351723567228052e-06,9.673835220106857e-07,8.248375780830432e-07,2.858964499791472e-07,1.4642547599518506e-07
DY-M4to50,2.6421883398161493e-05,1.1180576946447594e-06,5.663459391875564e-07,5.575917095781528e-07,5.575917095781528e-07,5.276983197693058e-07,2.643151954188048e-07,9.14923811133836e-08,9.14923811133836e-08,9.14923811133836e-08,8.894000273786026e-08,8.383399452829888e-08,2.5335613436776485e-08,6.929493180225111e-09
Multiboson,0.00065832021677796,1.9939208429590776e-05,1.0651233588785532e-05,1.0115143176995873e-05,9.83706968304439e-06,9.553066064928523e-06,6.609668096040824e-06,1.29217706127512e-06,1.253289557791322e-06,1.2115415673806196e-06,1.0372129494087108e-06,7.360970666872097e-07,1.1253768856732626e-07,3.4493500645710756e-08
QCD,2.4876471605028946e-06,2.4923531805879572e-08,6.879095977386383e-09,6.879095977386383e-09,6.879095977386383e-09,6.511558511341675e-09,1.0704475775001472e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZJets,0.002421591906365046,2.2400689602995837e-05,1.3266680454768937e-05,1.24551028932724e-05,1.2300384015170878e-05,1.2198779769513708e-05,8.475752390243681e-06,1.8766966141066236e-06,1.864952722992885e-06,1.840052121194935e-06,1.737035132340989e-06,1.5511164845487085e-06,8.646746243251436e-07,4.299663812003477e-07
Total,1.6957574430746622e-05,2.82635019554369e-07,1.3878685246930716e-07,1.3163471634842142e-07,1.3016362622784685e-07,1.2833778085338275e-07,8.056345412612123e-08,1.852375921251818e-08,1.8223626856173268e-08,1.791851756894472e-08,1.5496757288347388e-08,1.3079240678754592e-08,4.729071058337345e-09,2.322389459597867e-09
