,Preselections,n(good vertex) > 0,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"|dPhi(MET,leading jet)| > 1.5","|dPhi(MET,all jets)| > 0.75",Vtx prod_eta > 0
SingleTop,3665.006769733427,125.48901767941629,47.918566909845374,44.376055522103655,44.125035063926646,43.27546544054989,28.744875487011083,18.25876724868776
TTbar,22073.225668851308,1345.54073450418,462.7226518932414,428.76828915114413,418.39405821534456,414.1370112902673,271.6107306744591,160.3141033945695
ZGamma,1665.2529797328907,34.97157323886897,21.02737816104475,20.807237822444907,19.981315290871482,17.99970033719696,15.057007710524104,10.349854564232722
QCD,53319.9892353793,550.9602272501202,142.57006830013123,142.57006830013123,142.57006830013123,133.71456289987265,0.23592480975256724,0.0
WJets,214716.6178034127,3128.562653862789,1788.1711516601601,1699.3899118576987,1685.4407920505378,1668.7794654687336,1091.134441302929,610.6085491077479
Multiboson,4593.859139715373,140.86999381541665,74.75560685103952,71.23389360399855,69.25504247815827,67.21183102674031,46.595760713659374,28.347693299063444
DY-M50,5355.996580657126,216.83302695048624,115.79423945350715,111.74308988350936,111.29623855636493,108.66641405288476,70.2328507446861,54.549943261660765
ZJets,63747.427904711745,589.3704797515024,348.44209443030763,327.10522080886204,323.0589588688771,320.3527708665139,222.92053795228284,126.7969701388622
DY-M4to50,463.633689093944,19.776998246465258,10.334206079455512,10.176201140271626,10.176201140271626,9.655726006915792,4.959758670676047,3.947354232330041
TTX,440.9116663235195,30.342636882886918,8.277799071411179,7.533532353478221,7.1441059627109,7.0759917742644305,3.3536438023664426,2.573877772908057
Total,370041.92143761134,6182.717342182132,3020.0137628101443,2863.7035004436425,2831.4418159271945,2790.8689391639396,1754.8455318683466,1015.7471130200622
