,Preselections,n(good vertex) > 0,HEM Jet Veto (eta upper bound bug),HEM Jet Veto (additionally veto missing eta region),HEM electron Veto,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 1.5","dPhi(MET,all jets) > 0.75",Vtx SSSF
DY-M50,272468,26037,26037,26037,26037,9048,8939,8935,8184,3406,581
QCD,31603,535,535,535,535,160,159,159,141,1,0
Multiboson,24553,1415,1415,1415,1415,721,688,661,630,412,121
TTX,141391,17834,17834,17834,17834,5190,4871,4663,4421,2723,1051
ZJets,729756,15827,15827,15827,15827,9144,8813,8776,8614,5100,2414
WJets,1171204,39491,39491,39491,39491,18510,18101,18046,17428,9041,4412
ZGamma,6511,239,239,239,239,126,118,116,112,69,20
TTbar,519733,49078,49078,49078,49078,17120,15870,15499,15336,9984,3689
SingleTop,46314,1718,1718,1718,1718,645,575,569,560,343,139
DY-M4to50,25923,1903,1903,1903,1903,910,895,895,815,311,49
Total,2969456,154077,154077,154077,154077,61574,59029,58319,56241,31390,12476
