,Preselections,n(good vertex) > 0,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 1.5","dPhi(MET,all jets) > 0.75",Vtx CosCollinear < 0
Multiboson,23293,150,81,76,74,72,47,18
DY-M4to50,24283,320,169,168,168,163,76,26
SingleTop,43888,302,109,96,96,94,49,16
QCD,29697,160,43,43,43,36,0,0
TTX,130908,1800,537,515,501,486,310,122
ZGamma,6251,68,35,31,31,31,17,3
TTbar,485374,6665,2344,2183,2145,2131,1321,495
ZJets,693237,5381,3065,2956,2947,2897,1670,570
DY-M50,258626,3054,1219,1196,1195,1163,578,238
WJets,1115573,6075,2761,2689,2682,2596,1257,469
Total,2811130,23975,10363,9953,9882,9669,5325,1957
