,Preselections,n(good vertex) > 0,HEM Jet Veto (eta upper bound bug),HEM Jet Veto (additionally veto missing eta region),HEM electron Veto,No b-tagged jets,Leading jet |eta| < 2.4,Leading jet pT > 80 GeV,"dPhi(MET,leading jet) > 1.5","dPhi(MET,all jets) > 0.75",Vtx CosCollinear < 0
DY-M4to50,2.6456099600495896e-05,3.163961988810808e-07,3.046268199592566e-07,3.042770187874341e-07,2.923720757145994e-07,1.541527919394141e-07,1.5305820037360993e-07,1.5305820037360993e-07,1.5130919451449783e-07,7.425460891063386e-08,1.5797944013218276e-08
DY-M50,0.0003939941770486602,4.116108799175145e-06,3.796087065295092e-06,3.7625609898717384e-06,3.555494288640437e-06,1.775344229953451e-06,1.68521297259546e-06,1.6842450731816086e-06,1.6752248560139985e-06,1.0703687352218343e-06,4.13351391152961e-07
SingleTop,0.00023564103448618862,1.963810639494815e-06,1.790315892486297e-06,1.7788856365432694e-06,1.6792895082948986e-06,6.116551454549025e-07,5.693998813891994e-07,5.693998813891994e-07,5.6464388481555e-07,2.965503060175016e-07,1.1595157711493687e-07
TTbar,0.0004436469930565506,6.219401685879979e-06,5.766908405162534e-06,5.734201090749665e-06,5.493521610749561e-06,1.9374381576962802e-06,1.8088759070318064e-06,1.7823371738650372e-06,1.771229808678717e-06,1.1104464760404041e-06,4.0609681255044176e-07
ZJets,0.0024216620193762486,1.4592317192523525e-05,1.373012166336964e-05,1.3645170583366996e-05,1.3092761927644174e-05,7.610242862463667e-06,7.13487231417239e-06,7.037091108769041e-06,6.972775095705236e-06,4.766076074029928e-06,1.6035288450128282e-06
Multiboson,0.0006591377388398072,3.993201365100082e-06,3.5900312011043493e-06,3.5900312011043493e-06,3.357202120012992e-06,1.7029572824426589e-06,1.5447366225981299e-06,1.4996841851161597e-06,1.4680950473799577e-06,1.0197048668471323e-06,2.923900505261646e-07
QCD,2.4824197770637746e-06,3.320952902523708e-08,1.652369169696987e-08,1.651270774100836e-08,1.5848882786697736e-08,5.095126047572009e-09,5.095126047572009e-09,5.095126047572009e-09,4.752036888171298e-09,0.0,0.0
TTX,0.00136440404821353,1.8327263109264874e-05,1.8930163740956385e-05,1.8404430534138795e-05,1.7115240332255868e-05,4.898437006891398e-06,4.8177960844023725e-06,4.796135132667733e-06,4.732554016920821e-06,-4.621777052088823e-07,1.2889982051965328e-06
ZGamma,0.0003247032637400491,2.570501742500359e-06,2.728852727234555e-06,2.728852727234555e-06,2.5329640816567336e-06,1.5454408920098874e-06,1.3763161731311217e-06,1.3763161731311217e-06,1.3763161731311217e-06,9.794428468824191e-07,1.9588856672197393e-07
WJets,0.0010132927439486308,5.194984131288226e-06,4.883171397718203e-06,4.8523779217623154e-06,4.592446565564085e-06,2.494158679735446e-06,2.3681440734247946e-06,2.3532859818306287e-06,2.330792630788029e-06,1.4639612029816235e-06,4.725833681906127e-07
Total,1.4681914291403451e-05,1.0891705023623542e-07,8.769524014034295e-08,8.724569276028501e-08,8.308516486932167e-08,3.9402810277205645e-08,3.7460426600368545e-08,3.7169016697270606e-08,3.6541063676169666e-08,2.034620704042906e-08,6.764583003900436e-09
