,Preselections,n(good vertex) > 0,No b-tagged jets
ZGamma,1609.7063743964527,13.995024989109073,7.925852916292516
TTX,394.77209721947895,5.876677449873916,1.5396539163398753
WJets,169523.9091901544,854.8604175945313,464.0102922116082
ZJets,49623.76224876413,294.10930217543387,170.90717665838045
SingleTop,3467.544397119086,27.584231142893536,9.834400945201597
Multiboson,4362.918680339711,24.6583974920535,12.195886536765004
DY-M50,4144.21710346463,41.95605140078649,21.210295917931596
TTbar,20615.754486871563,286.98205284503007,101.66370424480897
DY-M4to50,355.3310703712196,4.204188326162015,2.221229579833802
QCD,46583.79656446687,351.9252728341551,108.46743764056099
Total,300681.7122131676,1906.1516162500288,899.975930567723
